"id","league_id","home_goals","away_goals","winner","home_gk","home_def","home_mid","home_atk","home_def_count","home_mid_count","home_atk_count","away_gk","away_def","away_mid","away_atk","away_def_count","away_mid_count","away_atk_count"
9935,7809,2,1,"home","bad","bad","good","very good",4,5,1,"bad","good","good","bad",4,5,1
9936,7809,0,3,"away","very good","good","good","good",4,4,2,"very good","very good","very good","very good",4,4,2
9937,7809,1,2,"away","good","bad","good","bad",4,4,2,"very good","very good","very good","very good",4,5,1
9938,7809,3,3,"draw","very bad","good","good","good",4,3,3,"very good","good","good","very good",4,4,2
9939,7809,1,1,"draw","good","good","very good","very good",4,5,1,"very good","good","very good","very good",4,5,1
9940,7809,2,1,"home","good","bad","bad","bad",4,5,1,"very good","very good","very good","very good",4,5,1
9941,7809,3,1,"home","bad","very bad","bad","bad",4,5,1,"bad","good","good","good",4,4,2
9942,7809,0,1,"away","very good","very good","very good","very good",4,5,1,"very good","good","good","good",4,5,1
9943,7809,1,0,"home","very good","good","very good","very good",4,5,1,"very good","very good","very good","very good",4,5,1
9944,7809,3,0,"home","very good","very good","very good","very good",4,5,1,"bad","bad","good","very good",5,4,1
9945,7809,0,0,"draw","very good","very good","very good","very good",4,4,2,"very good","very good","very good","very good",4,3,3
9946,7809,2,0,"home","bad","good","good","bad",4,5,1,"good","bad","good","bad",4,4,2
9947,7809,1,0,"home","very good","good","very good","good",4,5,1,"bad","very bad","bad","bad",4,5,1
9948,7809,3,0,"home","good","good","good","very good",4,5,1,"good","bad","very good","very good",4,5,1
9949,7809,0,1,"away","bad","good","good","good",4,4,2,"good","bad","bad","bad",4,5,1
9950,7809,4,5,"away","bad","good","good","good",4,4,2,"very bad","good","good","good",4,5,1
9654,7809,2,1,"home","very good","very good","very good","very good",3,4,3,"very good","very good","very good","very good",4,5,1
9655,7809,1,0,"home","very good","very good","very good","very good",4,5,1,"bad","good","good","good",4,5,1
9656,7809,3,1,"home","very good","very good","very good","very good",4,4,2,"very good","good","very good","very good",4,5,1
9657,7809,1,2,"away","bad","bad","good","very good",4,5,1,"bad","good","good","good",4,3,3
9658,7809,1,0,"home","very good","good","bad","good",4,5,1,"bad","bad","good","bad",4,5,1
9659,7809,0,4,"away","very bad","good","good","good",4,5,1,"very good","very good","very good","very good",4,5,1
9660,7809,1,0,"home","good","good","very good","very good",4,5,1,"very good","good","very good","very good",4,5,1
9661,7809,0,1,"away","good","bad","bad","bad",4,5,1,"good","good","bad","bad",4,4,2
9662,7809,3,1,"home","bad","very bad","bad","very bad",4,4,2,"good","good","good","very good",4,3,3
9663,7809,1,0,"home","very good","very good","very good","very good",4,5,1,"very good","very good","very good","very good",4,4,2
9664,7809,0,0,"draw","very good","good","very good","very good",4,5,1,"bad","bad","good","very good",4,5,1
9665,7809,2,0,"home","very good","very good","very good","very good",4,5,1,"good","good","very good","very good",4,5,1
9666,7809,3,0,"home","bad","good","good","bad",4,5,1,"bad","very bad","bad","bad",4,5,1
9667,7809,3,4,"away","very good","good","very good","good",4,5,1,"good","bad","bad","bad",4,5,1
9668,7809,0,2,"away","good","very good","good","very good",4,5,1,"very good","bad","good","good",4,5,1
9669,7809,2,0,"home","bad","good","good","good",4,3,3,"very bad","good","good","good",4,5,1
9670,7809,0,4,"away","bad","good","good","good",4,5,1,"very good","very good","very good","very good",4,5,1
9671,7809,2,0,"home","good","good","bad","bad",4,4,2,"very good","very good","very good","very good",4,5,1
9672,7809,4,0,"home","very good","very good","very good","very good",4,5,1,"very good","good","very good","very good",4,5,1
9673,7809,3,2,"home","very good","very good","very good","very good",5,3,2,"very good","very good","very good","very good",4,5,1
9674,7809,1,3,"away","very good","very good","very good","very good",4,4,2,"bad","good","good","good",4,4,2
9675,7809,2,2,"draw","good","good","good","very good",4,5,1,"good","good","good","bad",4,4,2
9676,7809,1,3,"away","very good","good","good","good",4,5,1,"very good","very good","very good","very good",4,4,2
9677,7809,0,1,"away","very good","bad","good","good",4,5,1,"bad","good","good","bad",4,5,1
9678,7809,2,0,"home","good","good","good","very good",4,5,1,"bad","good","good","good",4,3,3
9679,7809,1,2,"away","good","good","bad","good",4,5,1,"good","bad","good","good",4,5,1
9680,7809,2,2,"draw","bad","bad","bad","bad",4,5,1,"very good","very good","very good","very good",4,5,1
9681,7809,4,1,"home","very good","very good","good","very good",4,5,1,"good","bad","good","very good",5,4,1
9682,7809,5,1,"home","very good","good","very good","very good",4,5,1,"good","good","bad","good",5,4,1
9683,7809,1,0,"home","very good","very good","very good","very good",4,5,1,"very good","very good","very good","very good",4,4,2
9684,7809,3,1,"home","bad","good","good","bad",4,5,1,"good","bad","bad","good",4,4,2
9685,7809,4,3,"home","very good","good","very good","bad",4,5,1,"very good","good","good","good",4,5,1
9686,7809,0,1,"away","good","bad","good","good",4,5,1,"very good","very good","very good","very good",4,4,2
9687,7809,4,0,"home","bad","bad","bad","bad",4,4,2,"bad","bad","bad","bad",4,5,1
9688,7809,2,0,"home","bad","good","good","good",4,3,3,"very good","very good","very good","very good",4,5,1
9689,7809,1,4,"away","good","good","good","bad",4,4,2,"very good","bad","good","good",4,5,1
